school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,average,sum,percentage
GP,F,18,2,GT3,1,4,4,at_home,teacher,course,mother,2,2,0,2,1,1,no,yes,yes,1,no,4,3,4,1,1,3,6,5,6,6,5.666667,17,28.33
GP,F,17,2,GT3,2,1,1,at_home,other,course,father,1,2,0,1,2,1,no,no,yes,2,no,5,3,3,1,1,3,4,5,5,6,5.333333,16,26.67
GP,F,15,2,LE3,2,1,1,at_home,other,other,mother,1,2,3,2,1,2,no,yes,yes,2,no,4,3,2,2,3,3,10,7,8,10,8.333333,25,41.67
GP,F,15,2,GT3,2,4,2,health,services,home,mother,1,3,0,1,2,2,yes,yes,yes,2,yes,3,2,2,1,1,5,2,15,14,15,14.66667,44,73.33
GP,F,16,2,GT3,2,3,3,other,other,home,father,1,2,0,1,2,2,no,yes,yes,1,no,4,3,2,1,2,5,4,6,10,10,8.666667,26,43.33
GP,M,16,2,LE3,2,4,3,services,other,reputation,mother,1,2,0,1,2,2,yes,yes,yes,2,no,5,4,2,1,2,5,10,15,15,15,15,45,75
GP,M,16,2,LE3,2,2,2,other,other,home,mother,1,2,0,1,1,1,no,yes,yes,2,no,4,4,4,1,1,3,0,12,12,11,11.66667,35,58.33
GP,F,17,2,GT3,1,4,4,other,teacher,home,mother,2,2,0,2,2,1,no,yes,yes,1,no,4,1,4,1,1,1,6,6,5,6,5.666667,17,28.33
GP,M,15,2,LE3,1,3,2,services,other,home,mother,1,2,0,1,2,2,no,yes,yes,2,no,4,2,2,1,1,1,0,16,18,19,17.66667,53,88.33
GP,M,15,2,GT3,2,3,4,other,other,home,mother,1,2,0,1,2,2,yes,yes,yes,2,no,5,5,1,1,1,5,0,14,15,15,14.66667,44,73.33
GP,F,15,2,GT3,2,4,4,teacher,health,reputation,mother,1,2,0,1,2,2,no,yes,yes,2,no,3,3,3,1,2,2,0,10,8,9,9,27,45
GP,F,15,2,GT3,2,2,1,services,other,reputation,father,3,3,0,1,2,1,yes,yes,yes,2,no,5,2,2,1,1,4,4,10,12,12,11.33333,34,56.67
GP,M,15,2,LE3,2,4,4,health,services,course,father,1,1,0,1,2,2,yes,yes,yes,2,no,4,3,3,1,3,5,2,14,14,14,14,42,70
GP,M,15,2,GT3,2,4,3,teacher,other,course,mother,2,2,0,1,2,2,no,yes,yes,2,no,5,4,3,1,2,3,2,10,10,11,10.33333,31,51.67
GP,M,15,2,GT3,1,2,2,other,other,home,other,1,3,0,1,2,1,no,yes,yes,2,yes,4,5,2,1,1,3,0,14,16,16,15.33333,46,76.67
GP,F,16,2,GT3,2,4,4,health,other,home,mother,1,1,0,1,2,1,no,yes,yes,2,no,4,4,4,1,2,2,4,14,14,14,14,42,70
GP,F,16,2,GT3,2,4,4,services,services,reputation,mother,1,3,0,1,2,2,yes,yes,yes,2,no,3,2,3,1,2,2,6,13,14,14,13.66667,41,68.33
GP,F,16,2,GT3,2,3,3,other,other,reputation,mother,3,2,0,2,2,1,yes,yes,yes,1,no,5,3,2,1,1,4,4,8,10,10,9.333333,28,46.67
GP,M,17,2,GT3,2,3,2,services,services,course,mother,1,1,3,1,2,1,yes,yes,yes,2,no,5,5,5,2,4,5,16,6,5,5,5.333333,16,26.67
GP,M,16,2,LE3,2,4,3,health,other,home,father,1,1,0,1,1,2,yes,yes,yes,2,no,3,1,3,1,3,5,4,8,10,10,9.333333,28,46.67
GP,M,15,2,GT3,2,4,3,teacher,other,reputation,mother,1,2,0,1,1,1,no,yes,yes,2,no,4,4,1,1,1,1,0,13,14,15,14,42,70
GP,M,15,2,GT3,2,4,4,health,health,other,father,1,1,0,1,2,2,no,yes,yes,2,no,5,4,2,1,1,5,0,12,15,15,14,42,70
GP,M,16,2,LE3,2,4,2,teacher,other,course,mother,1,2,0,1,1,1,yes,yes,yes,2,no,4,5,1,1,3,5,2,15,15,16,15.33333,46,76.67
GP,M,16,2,LE3,2,2,2,other,other,reputation,mother,2,2,0,1,2,1,yes,yes,yes,2,no,5,4,4,2,4,5,0,13,13,12,12.66667,38,63.33
GP,F,15,1,GT3,2,2,4,services,health,course,mother,1,3,0,2,2,2,yes,yes,yes,2,no,4,3,2,1,1,5,2,10,9,8,9,27,45
GP,F,16,2,GT3,2,2,2,services,services,home,mother,1,1,2,1,2,2,no,no,yes,2,no,1,2,2,1,3,5,14,6,9,8,7.666667,23,38.33
GP,M,15,2,GT3,2,2,2,other,other,home,mother,1,1,0,1,2,2,no,yes,yes,2,no,4,2,2,1,2,5,2,12,12,11,11.66667,35,58.33
GP,M,15,2,GT3,2,4,2,health,services,other,mother,1,1,0,1,1,2,no,yes,yes,2,no,2,2,4,2,4,1,4,15,16,15,15.33333,46,76.67
GP,M,16,2,LE3,1,3,4,services,other,home,mother,1,2,0,2,2,1,yes,yes,yes,2,no,5,3,3,1,1,5,4,11,11,11,11,33,55
GP,M,16,2,GT3,2,4,4,teacher,teacher,home,mother,1,2,0,1,2,2,yes,yes,yes,2,yes,4,4,5,5,5,5,16,10,12,11,11,33,55
GP,M,15,2,GT3,2,4,4,health,services,home,mother,1,2,0,1,2,2,no,no,yes,2,no,5,4,2,3,4,5,0,9,11,12,10.66667,32,53.33
GP,M,15,2,GT3,2,4,4,services,services,reputation,mother,2,2,0,1,2,1,yes,yes,yes,2,no,4,3,1,1,1,5,0,17,16,17,16.66667,50,83.33
GP,M,15,1,GT3,2,4,3,teacher,at_home,course,mother,1,2,0,1,2,1,yes,yes,yes,2,yes,4,5,2,1,1,5,0,17,16,16,16.33333,49,81.67
GP,M,15,2,LE3,2,3,3,other,other,course,mother,1,2,0,1,1,1,yes,no,yes,2,no,5,3,2,1,1,2,0,8,10,12,10,30,50
GP,M,16,2,GT3,2,3,2,other,other,home,mother,1,1,0,1,2,2,no,no,yes,2,no,5,4,3,1,1,5,0,12,14,15,13.66667,41,68.33
GP,F,15,2,GT3,2,2,3,other,other,other,father,2,1,0,1,2,1,yes,yes,yes,1,no,3,5,1,1,1,5,0,8,7,6,7,21,35
GP,M,15,2,LE3,2,4,3,teacher,services,home,mother,1,3,0,1,2,1,yes,yes,yes,2,no,5,4,3,1,1,4,2,15,16,18,16.33333,49,81.67
GP,M,16,1,GT3,1,4,4,other,teacher,reputation,mother,2,3,0,1,2,1,yes,yes,yes,2,yes,2,4,3,1,1,5,7,15,16,15,15.33333,46,76.67
GP,F,15,1,GT3,2,3,4,services,health,course,mother,1,3,0,2,2,2,yes,yes,yes,2,no,4,3,2,1,1,5,2,12,12,11,11.66667,35,58.33
GP,F,15,1,GT3,2,2,2,at_home,other,reputation,mother,1,1,0,2,2,2,yes,yes,yes,1,no,4,3,1,1,1,2,8,14,13,13,13.33333,40,66.67
GP,F,16,2,LE3,2,2,2,other,other,home,mother,2,2,1,1,2,1,yes,no,yes,2,yes,3,3,3,1,2,3,25,7,10,11,9.333333,28,46.67
GP,M,15,2,LE3,2,4,4,teacher,other,home,other,1,1,0,1,2,1,no,no,yes,2,yes,5,4,3,2,4,5,8,12,12,12,12,36,60
GP,M,15,2,GT3,2,4,4,services,teacher,course,father,1,2,0,1,2,1,yes,yes,yes,2,no,4,3,3,1,1,5,2,19,18,18,18.33333,55,91.67
GP,M,15,2,GT3,2,2,2,services,services,course,father,1,1,0,2,2,1,no,yes,yes,2,no,5,4,1,1,1,1,0,8,8,11,9,27,45
GP,F,16,2,LE3,2,2,2,other,at_home,course,father,2,2,1,2,1,1,yes,yes,yes,2,no,4,3,3,2,2,5,14,10,10,9,9.666667,29,48.33
GP,F,15,2,LE3,1,4,3,other,other,course,mother,1,2,0,2,2,2,yes,yes,yes,2,yes,5,2,2,1,1,5,8,8,8,6,7.333333,22,36.67
GP,F,16,2,LE3,1,3,3,other,services,home,mother,1,2,0,1,2,1,no,yes,yes,2,no,2,3,5,1,4,3,12,11,12,11,11.33333,34,56.67
GP,M,16,2,GT3,2,4,3,health,services,reputation,mother,1,4,0,1,1,1,yes,yes,yes,2,no,4,2,2,1,1,2,4,19,19,20,19.33333,58,96.67
GP,M,15,2,GT3,2,4,2,teacher,other,home,mother,1,2,0,1,2,2,no,yes,yes,1,no,4,3,3,2,2,5,2,15,15,14,14.66667,44,73.33
GP,F,15,2,GT3,2,4,4,services,teacher,other,father,1,2,1,2,2,1,yes,no,yes,2,no,4,4,4,1,1,3,2,7,7,7,7,21,35
GP,F,16,2,LE3,2,2,2,services,services,course,mother,3,2,0,1,2,2,no,yes,yes,2,no,4,3,3,2,3,4,2,12,13,13,12.66667,38,63.33
GP,F,15,2,LE3,2,4,2,health,other,other,mother,1,2,0,1,2,2,no,yes,yes,2,no,4,3,3,1,1,5,2,11,13,13,12.33333,37,61.67
GP,M,15,2,LE3,1,4,2,health,health,other,father,2,1,1,1,1,1,no,yes,yes,1,no,5,5,5,3,4,5,6,11,11,10,10.66667,32,53.33
GP,F,15,2,GT3,2,4,4,services,services,course,mother,1,1,0,2,2,2,no,yes,yes,2,no,3,3,4,2,3,5,0,8,10,11,9.666667,29,48.33
GP,F,15,2,LE3,1,3,3,other,other,other,mother,1,1,0,1,1,2,no,yes,yes,2,no,5,3,4,4,4,1,6,10,13,13,12,36,60
GP,F,16,2,GT3,1,2,1,other,other,other,mother,1,2,0,1,1,2,yes,yes,yes,2,yes,5,3,4,1,1,2,8,8,9,10,9,27,45
GP,F,15,2,GT3,1,4,3,services,services,reputation,mother,1,2,0,1,2,2,yes,yes,yes,2,no,4,3,2,1,1,1,0,14,15,15,14.66667,44,73.33
GP,M,15,2,GT3,2,4,4,teacher,health,reputation,mother,1,2,0,1,2,1,yes,yes,yes,1,no,3,2,2,1,1,5,4,14,15,15,14.66667,44,73.33
GP,M,15,2,LE3,2,1,2,other,at_home,home,father,1,2,0,2,2,1,yes,yes,yes,2,no,4,3,2,1,1,5,2,9,10,9,9.333333,28,46.67
GP,F,16,2,GT3,2,4,2,services,other,course,mother,1,2,0,1,2,1,no,yes,yes,2,no,4,2,3,1,1,5,2,15,16,16,15.66667,47,78.33
GP,F,16,1,GT3,2,4,4,health,teacher,other,mother,1,2,0,1,2,1,yes,yes,yes,1,no,2,4,4,2,3,4,6,10,11,11,10.66667,32,53.33
GP,F,16,2,GT3,2,1,1,services,services,course,father,4,1,0,2,2,1,yes,no,yes,2,yes,5,5,5,5,5,5,6,10,8,11,9.666667,29,48.33
GP,F,16,2,LE3,2,1,2,other,services,reputation,father,1,2,0,2,1,1,yes,yes,yes,2,no,4,4,3,1,1,1,4,8,10,9,9,27,45
GP,F,16,2,GT3,2,4,3,teacher,health,home,mother,1,3,0,2,2,2,yes,yes,yes,2,no,3,4,4,2,4,4,2,10,9,9,9.333333,28,46.67
GP,F,15,2,LE3,2,4,3,services,services,reputation,father,1,2,0,2,1,1,yes,yes,yes,2,yes,4,4,4,2,4,2,0,10,10,10,10,30,50
GP,F,16,2,LE3,2,4,3,teacher,services,course,mother,3,2,0,1,2,1,yes,yes,yes,2,no,5,4,3,1,2,1,2,16,15,15,15.33333,46,76.67
GP,M,15,2,GT3,1,4,4,other,services,reputation,mother,1,4,0,1,2,1,yes,no,yes,2,yes,1,3,3,5,5,3,4,13,13,12,12.66667,38,63.33
